Wavelength (microns),E (W/m2/micron),Error on E
0.663,1555,39.43348831
0.665,1560,39.49683532
0.667,1535,39.17907605
0.669,1546,39.3192065
0.671,1516,38.93584467
0.673,1521,39
0.675,1510,38.85871846
0.677,1508,38.83297568
0.679,1498,38.70400496
0.681,1492,38.62641583
0.683,1479,38.45776905
0.685,1455,38.14446225
0.687,1467,38.301436
0.689,1461,38.22302971
0.691,1448,38.05259518
0.693,1448,38.05259518
0.695,1436,37.89459064
0.697,1416,37.62977544
0.699,1425,37.74917218
0.701,1386,37.22902094
0.703,1388,37.25587202
0.705,1415,37.61648575
0.707,1400,37.41657387
0.709,1384,37.20215048
0.711,1385,37.21558813
0.713,1373,37.05401463
0.715,1366,36.95943723
0.717,1354,36.79673899
0.719,1328,36.44173432
0.721,1331,36.48287269
0.723,1348,36.7151195
0.725,1350,36.74234614
0.727,1346,36.68787266
0.729,1319,36.31803959
0.731,1326,36.41428291
0.733,1318,36.30426972
0.735,1309,36.18010503
0.737,1307,36.15245497
0.739,1278,35.74912586
0.741,1258,35.4682957
0.743,1286,35.86084215
0.745,1279,35.76310948
0.747,1283,35.81898938
0.749,1270,35.63705936
0.751,1262,35.52463934
0.753,1259,35.48239
0.755,1255,35.42597917
0.757,1248,35.32704347
0.759,1240,35.21363372
0.761,1237,35.17101079
0.763,1241,35.22782991
0.765,1221,34.94281042
0.767,1185,34.42382896
0.769,1203,34.68429039
0.771,1204,34.69870315
0.773,1208,34.75629439
0.775,1188,34.46737588
0.777,1196,34.58323293
0.779,1187,34.45286635
0.781,1187,34.45286635
0.783,1176,34.2928564
0.785,1180,34.35112807
0.787,1177,34.3074336
0.789,1174,34.2636834
0.791,1158,34.02939905
0.793,1143,33.80828301
0.795,1134,33.67491648
0.797,1152,33.9411255
0.799,1135,33.68976106
0.801,1142,33.7934905
0.803,1129,33.60059523
0.805,1115,33.39161571
0.807,1120,33.46640106
0.809,1095,33.09078422
0.811,1114,33.37663854
0.813,1115,33.39161571
0.815,1107,33.27160952
0.817,1104,33.22649545
0.819,1063,32.60368077
0.821,1080,32.86335345
0.823,1073,32.75667871
0.825,1075,32.78719262
0.826,1080,32.86335345
0.828,1081,32.87856445
0.83,1063,32.60368077
0.832,1051,32.41913015
0.834,1041,32.26453161
0.836,1052,32.43454948
0.838,1044,32.31098884
0.84,1040,32.24903099
0.842,1036,32.18695388
0.844,1024,32
0.846,1028,32.06243908
0.848,1023,31.98437118
0.85,966,31.08054054
0.852,996.1,31.56105195
0.854,878,29.63106478
0.856,975.5,31.23299537
0.858,1005,31.70173497
0.86,996.9,31.57372325
0.862,994.9,31.54203544
0.864,999.3,31.61170669
0.866,886.2,29.76911151
0.868,939.5,30.65126425
0.87,974.7,31.22018578
0.872,983.3,31.35761471
0.874,971.3,31.16568626
0.876,964,31.04834939
0.878,974.9,31.22338867
0.88,955.4,30.90954545
0.882,951.1,30.83990921
0.884,957.9,30.94995961
0.886,938.3,30.63168294
0.888,944.3,30.72946469
0.89,953,30.87069808
0.892,939.4,30.64963295
0.894,933.2,30.54832238
0.896,938.7,30.63821144
0.898,933.9,30.55977749
0.9,915.8,30.26218763
0.902,891.6,29.8596718
0.904,928.5,30.47129797
0.906,917.6,30.29191311
0.908,902.5,30.04163777
0.91,891.6,29.8596718
0.912,896.7,29.94494949
0.914,907.1,30.11810087
0.916,900.4,30.00666593
0.918,895.1,29.91822187
0.92,890.8,29.8462728
0.922,863,29.37686164
0.924,858.5,29.30017065
0.926,861.2,29.3462093
0.928,876.9,29.61249736
0.93,867.7,29.45674795
0.932,865.1,29.41258234
0.934,864.1,29.3955779
0.936,854.7,29.23525269
0.938,858,29.29163703
0.94,843.8,29.04823575
0.942,825,28.72281323
0.944,832.4,28.85134312
0.946,837.5,28.93959226
0.948,840.7,28.99482712
0.95,836.9,28.92922398
0.952,831.7,28.83920942
0.954,808,28.42534081
0.956,808.2,28.42885858
0.958,818.8,28.61468155
0.96,815.1,28.54995622
0.962,808.9,28.44116735
0.964,801.3,28.30724289
0.966,794.7,28.19042391
0.968,796.9,28.22941728
0.97,795.9,28.2116997
0.972,793.6,28.17090698
0.974,781.5,27.9553215
0.976,782.5,27.97320146
0.978,777.9,27.89085872
0.98,774.6,27.83163667
0.982,776.4,27.86395521
0.984,769.8,27.74526987
0.986,766.1,27.67851152
0.988,761.5,27.59528945
0.99,754.1,27.46088127
0.992,756.7,27.5081806
0.994,755.6,27.48817928
0.996,752.5,27.43173345
0.998,751,27.40437921
1,747.9,27.34776042
1.002,746.9,27.32947127
1.004,726.1,26.94624278
1.006,713.6,26.71329257
1.008,733.5,27.08320513
1.01,731.3,27.04255905
1.012,726.2,26.94809826
1.014,721,26.85144316
1.016,713.9,26.71890716
1.018,710.7,26.65895722
1.02,704.1,26.5348827
1.022,702.1,26.49716966
1.024,705.4,26.55936746
1.026,702.7,26.50848921
1.028,698.9,26.43671689
1.03,693.7,26.33818521
1.032,690.5,26.27736669
1.034,681.7,26.10938529
1.036,684,26.15339366
1.038,677.2,26.02306669
1.04,676.1,26.00192301
1.042,674.6,25.97306297
1.044,671.4,25.91138746
1.046,660,25.69046516
1.048,664.4,25.77595779
1.05,662.2,25.73324698
1.052,658.6,25.66320323
1.054,654.9,25.59101405
1.056,655.7,25.60663976
1.058,645.1,25.39881887
1.06,641.5,25.32785028
1.062,643.8,25.37321422
1.064,645.9,25.41456275
1.066,639.5,25.28833723
1.068,631.7,25.13364279
1.07,624.1,24.98199352
1.072,632.6,25.15154071
1.074,627.6,25.05194603
1.076,628,25.05992817
1.078,627.2,25.04396135
1.08,624.7,24.99399928
1.082,609.9,24.69615355
1.084,618,24.85960579
1.086,620.8,24.9158584
1.088,610.3,24.70425065
1.09,619.9,24.89779107
1.092,615.9,24.81733265
1.094,584.9,24.18470591
1.096,598.3,24.46017171
1.098,596.1,24.41515923
1.1,604.2,24.58048006
1.102,593.2,24.35569749
1.104,597.4,24.44176753
1.106,594.5,24.38237068
1.108,591.6,24.32282878
1.11,590.6,24.30226327
1.112,584.3,24.17229819
1.114,584.4,24.17436659
1.116,583.1,24.14746363
1.118,581.5,24.1143111
1.12,574.1,23.96038397
1.122,579.6,24.07488318
1.124,576.9,24.01874268
1.126,565.5,23.7802439
1.128,570,23.87467277
1.13,565.3,23.77603836
1.132,567.8,23.8285543
1.134,563.8,23.74447304
1.136,565.8,23.78655082
1.138,556.9,23.59872878
1.14,553,23.51595203
1.142,553.1,23.51807815
1.144,551.4,23.48190793
1.146,554.8,23.55419283
1.148,552.5,23.50531855
1.15,548.9,23.42861498
1.152,545.8,23.36236289
1.154,547.9,23.40726383
1.156,545.5,23.35594143
1.158,543.5,23.31308645
1.16,532,23.06512519
1.162,532.5,23.07596152
1.164,533.2,23.09112384
1.166,530.3,23.02824353
1.168,531.2,23.04777647
1.17,527.6,22.96954505
1.172,531.5,23.05428377
1.174,527.3,22.96301374
1.176,518.4,22.76839915
1.178,519,22.7815715
1.18,523.9,22.88886192
1.182,515.9,22.71343215
1.184,510.3,22.58982072
1.186,518.7,22.77498628
1.188,507.5,22.52776065
1.19,508.5,22.54994457
1.192,516.1,22.7178344
1.194,514.5,22.68259244
1.196,508.4,22.54772716
1.198,494.3,22.23285857
1.2,500.3,22.36738697
1.202,506.8,22.5122189
1.204,494.8,22.24410034
1.206,503.9,22.44771703
1.208,489,22.11334439
1.21,488.2,22.09524836
1.212,493.3,22.21035794
1.214,494.2,22.23060953
1.216,493,22.20360331
1.218,489.7,22.12916627
1.22,487.5,22.07940217
1.222,485.4,22.03179521
1.224,484.6,22.01363214
1.226,481.7,21.94766502
1.228,477.1,21.84261889
1.23,479.2,21.89063727
1.232,475,21.79449472
1.234,472.9,21.74626405
1.236,471.9,21.72325942
1.238,470.3,21.68640127
1.24,465.3,21.57081361
1.242,464.2,21.54530111
1.244,461.9,21.49185892
1.246,463.5,21.52905014
1.248,463.3,21.52440475
1.25,462.4,21.50348809
1.252,457.1,21.3798971
1.254,457.4,21.38691189
1.256,455.1,21.33307292
1.258,453.3,21.2908431
1.26,453,21.28379665
1.262,449.7,21.20613119
1.264,447.8,21.16128541
1.266,446.7,21.13527856
1.268,441.7,21.01666006
1.27,445.3,21.10213259
1.272,445.2,21.09976303
1.274,443.1,21.04994062
1.276,445.1,21.0973932
1.278,444,21.07130751
1.28,435.6,20.87103256
1.282,401.4,20.03496943
1.284,425.9,20.63734479
1.286,432.8,20.8038458
1.288,431.4,20.77017092
1.29,425.5,20.62765134
1.292,425.4,20.62522727
1.294,422.3,20.54993917
1.296,422.4,20.55237213
1.298,418.4,20.45482828
1.3,418.6,20.45971652
1.302,413.9,20.34453244
1.304,411.1,20.2756011
1.306,413.6,20.33715811
1.308,412.3,20.30517175
1.31,410.6,20.26326726
1.312,403.3,20.08233054
1.314,402.2,20.05492458
1.316,397.9,19.94743091
1.318,401.7,20.04245494
1.32,401.6,20.03996008
1.322,398.6,19.96496932
1.324,398.1,19.95244346
1.326,394.9,19.87209098
1.328,390.8,19.76866207
1.33,387.8,19.69263822
1.332,386.3,19.65451602
1.334,389.2,19.72815247
1.336,386.6,19.66214637
1.338,383.2,19.57549489
1.34,379,19.46792233
1.342,380.5,19.5064092
1.344,379.8,19.48845812
1.346,377.2,19.42163742
1.348,376.6,19.40618458
1.35,372.4,19.29766825
1.352,374.2,19.34424979
1.354,372.2,19.29248558
1.356,367.5,19.17028951
1.358,368.8,19.20416621
1.36,367.3,19.1650724
1.362,367.7,19.17550521
1.364,365.7,19.12328424
1.366,365.7,19.12328424
1.368,362.8,19.04730952
1.37,359.9,18.97103055
1.372,362.1,19.02892535
1.374,361.1,19.0026314
1.376,356.1,18.87061207
1.378,358,18.92088793
1.38,357.9,18.91824516
1.382,354.5,18.82817038
1.384,354.7,18.83348083
1.386,353.2,18.79361594
1.388,353,18.78829423
1.39,350.6,18.72431574
1.392,351.3,18.74299869
1.394,348.8,18.67618805
1.396,348.7,18.67351065
1.398,349.2,18.6868938
1.4,342.7,18.51215817
1.402,343.9,18.54454098
1.404,342.8,18.5148589
1.406,343.1,18.52295873
1.408,342.7,18.51215817
1.41,341.8,18.48783384
1.412,334.8,18.29754082
1.414,337.7,18.37661558
1.416,338.5,18.39836949
1.418,338.6,18.40108692
1.42,335.7,18.32211778
1.422,331.5,18.20714146
1.424,331.1,18.19615344
1.426,328.1,18.11353085
1.428,328.5,18.12456896
1.43,325.7,18.04716044
1.432,330,18.16590212
1.434,328.4,18.12181006
1.436,328.5,18.12456896
1.438,328.3,18.11905075
1.44,318.8,17.8549713
1.442,318.6,17.84936974
1.444,319.7,17.8801566
1.446,321.6,17.93320942
1.448,321.6,17.93320942
1.45,318.7,17.85217074
1.452,315.4,17.7595045
1.454,314.3,17.72850812
1.456,313.1,17.69463195
1.458,316.7,17.79606698
1.46,315.6,17.76513439
1.462,312.1,17.6663522
1.464,310.5,17.62101019
1.466,310.8,17.6295207
1.468,311.4,17.6465294
1.47,310.2,17.61249556
1.472,307.3,17.52997433
1.474,303.4,17.4183811
1.476,304.8,17.45852227
1.478,304.4,17.44706279
1.48,306.8,17.51570724
1.482,304.4,17.44706279
1.484,303.9,17.43272784
1.486,303.3,17.41551033
1.488,285.5,16.89674525
1.49,301.5,17.36375535
1.492,301.8,17.37239189
1.494,303.3,17.41551033
1.496,297.2,17.23948955
1.498,299.4,17.3031789
1.5,301.1,17.35223329
1.502,292.4,17.0997076
1.504,279.9,16.73021219
1.506,284.8,16.87601849
1.508,291.9,17.08508121
1.51,294.7,17.16682848
1.512,291.3,17.067513
1.514,288.3,16.97939928
1.516,288.2,16.97645428
1.518,288.4,16.98234377
1.52,286.6,16.9292646
1.522,282.4,16.80476123
1.524,283.5,16.83745824
1.526,284.6,16.87009188
1.528,284.6,16.87009188
1.53,276.5,16.62828915
1.532,282.3,16.80178562
1.534,278.4,16.68532289
1.536,280.6,16.75111937
1.538,277.3,16.65232716
1.54,273,16.52271164
1.542,275.3,16.59216683
1.544,277.8,16.66733332
1.546,277.2,16.64932431
1.548,271.1,16.46511464
1.55,271.3,16.47118696
1.552,273.1,16.5257375
1.554,267.6,16.35848404
1.556,267.1,16.3431943
1.558,268.9,16.39817063
1.56,268.3,16.37986569
1.562,269.7,16.42254548
